Date_________JDUT     R.A._(J2000.0)_DEC.            delta      deldot
**********************************************************************
$$SOE
2457029.500000000     336.34149  -9.03757 1.35644668027232   1.3663617
2457030.500000000     337.26089  -8.67491 1.35723512786229   1.3637512
2457031.500000000     338.17841  -8.31008 1.35802202877841   1.3609949
2457032.500000000     339.09412  -7.94318 1.35880727997029   1.3580275
2457033.500000000     340.00812  -7.57430 1.35959074099567   1.3547862
2457034.500000000     340.92048  -7.20354 1.36037223538307   1.3512076
2457035.500000000     341.83128  -6.83100 1.36115155100663   1.3472303
2457036.500000000     342.74060  -6.45676 1.36192843837920   1.3427884
2457037.500000000     343.64852  -6.08093 1.36270260695700   1.3378022
2457038.500000000     344.55514  -5.70359 1.36347372001273   1.3321946
2457039.500000000     345.46053  -5.32485 1.36424139334461   1.3258777
2457040.500000000     346.36476  -4.94479 1.36500519358699   1.3187705
2457041.500000000     347.26793  -4.56352 1.36576464520178   1.3108137
2457042.500000000     348.17011  -4.18114 1.36651925107313   1.3019923
2457043.500000000     349.07137  -3.79773 1.36726851965769   1.2923450
2457044.500000000     349.97177  -3.41340 1.36801200206510   1.2819799
2457045.500000000     350.87139  -3.02826 1.36874932855576   1.2710596
2457046.500000000     351.77030  -2.64239 1.36948023314515   1.2597758
2457047.500000000     352.66854  -2.25591 1.37020456172733   1.2483190
2457048.500000000     353.56621  -1.86890 1.37092226329510   1.2368532
2457049.500000000     354.46335  -1.48148 1.37163337091655   1.2255035
2457050.500000000     355.36005  -1.09374 1.37233797792251   1.2143546
2457051.500000000     356.25637  -0.70577 1.37303621588490   1.2034559
2457052.500000000     357.15240  -0.31768 1.37372823722396   1.1928302
2457053.500000000     358.04821   0.07045 1.37441420119904   1.1824804
2457054.500000000     358.94388   0.45851 1.37509426400710   1.1723931
2457055.500000000     359.83949   0.84640 1.37576790364742   1.1625431
2457056.500000000       0.73515   1.23406 1.37643658099899   1.1528946
2457057.500000000       1.63093   1.62137 1.37709973335731   1.1434041
2457058.500000000       2.52691   2.00824 1.37775743778751   1.1340210
2457059.500000000       3.42320   2.39458 1.37840974045813   1.1246904
2457060.500000000       4.31987   2.78031 1.37905665523763   1.1153548
2457061.500000000       5.21701   3.16531 1.37969816205568   1.1059542
2457062.500000000       6.11472   3.54952 1.38033420575754   1.0964276
2457063.500000000       7.01308   3.93282 1.38096469542302   1.0867116
2457064.500000000       7.91219   4.31514 1.38158950218562   1.0767376
2457065.500000000       8.81212   4.69638 1.38220845571309   1.0664306
2457066.500000000       9.71298   5.07644 1.38282133972484   1.0557060
2457067.500000000      10.61484   5.45524 1.38342788613049   1.0444689
2457068.500000000      11.51779   5.83268 1.38402776971121   1.0326179
2457069.500000000      12.42191   6.20866 1.38462060717719   1.0200554
2457070.500000000      13.32728   6.58310 1.38520596429086   1.0067059
2457071.500000000      14.23398   6.95590 1.38578337359936   0.9925360
2457072.500000000      15.14207   7.32697 1.38635236950220   0.9775841
2457073.500000000      16.05161   7.69619 1.38691252783033   0.9619585
2457074.500000000      16.96267   8.06348 1.38746350639031   0.9458298
2457075.500000000      17.87530   8.42874 1.38800507341790   0.9294030
2457076.500000000      18.78955   8.79185 1.38853711209066   0.9128676
2457077.500000000      19.70548   9.15274 1.38905960994338   0.8963897
2457078.500000000      20.62314   9.51128 1.38957263944815   0.8800996
2457079.500000000      21.54259   9.86739 1.39007633174865   0.8640681
2457080.500000000      22.46387  10.22097 1.39057085205376   0.8483454
2457081.500000000      23.38705  10.57192 1.39105638759723   0.8329588
2457082.500000000      24.31219  10.92014 1.39153313447301   0.8179144
2457083.500000000      25.23934  11.26551 1.39200164403302   0.8032129
2457084.500000000      26.16855  11.60798 1.39246140386017   0.7888361
2457085.500000000      27.09989  11.94744 1.39291295021327   0.7747691
2457086.500000000      28.03341  12.28379 1.39335645601469   0.7609893
2457087.500000000      28.96917  12.61693 1.39379207774998   0.7474634
2457088.500000000      29.90722  12.94677 1.39421995079243   0.7341511
2457089.500000000      30.84762  13.27321 1.39464018515015   0.7210056
2457090.500000000      31.79043  13.59617 1.39505286307845   0.7079748
2457091.500000000      32.73568  13.91555 1.39545803289565   0.6949971
2457092.500000000      33.68344  14.23124 1.39585570765849   0.6820100
2457093.500000000      34.63375  14.54317 1.39624585775472   0.6689282
2457094.500000000      35.58666  14.85124 1.39662840592417   0.6556722
2457095.500000000      36.54221  15.15536 1.39700322484434   0.6421501
2457096.500000000      37.50045  15.45542 1.39737012975135   0.6282475
2457097.500000000      38.46140  15.75135 1.39772886925908   0.6138574
2457098.500000000      39.42510  16.04305 1.39807913179708   0.5988764
2457099.500000000      40.39158  16.33042 1.39842054736456   0.5832143
2457100.500000000      41.36086  16.61338 1.39875271110412   0.5668397
2457101.500000000      42.33294  16.89183 1.39907521753445   0.5497848
2457102.500000000      43.30784  17.16568 1.39938769945021   0.5321522
2457103.500000000      44.28554  17.43482 1.39968986830183   0.5141055
2457104.500000000      45.26604  17.69918 1.39998154101429   0.4958393
2457105.500000000      46.24932  17.95865 1.40026264550798   0.4775410
2457106.500000000      47.23537  18.21315 1.40053321068985   0.4593684
2457107.500000000      48.22418  18.46258 1.40079334571653   0.4414413
2457108.500000000      49.21571  18.70685 1.40104321767617   0.4238415
2457109.500000000      50.20996  18.94587 1.40128303135147   0.4066196
2457110.500000000      51.20689  19.17957 1.40151301501020   0.3898068
2457111.500000000      52.20649  19.40784 1.40173341004335   0.3734199
2457112.500000000      53.20873  19.63062 1.40194446578685   0.3574692
2457113.500000000      54.21358  19.84781 1.40214643578102   0.3419592
2457114.500000000      55.22104  20.05936 1.40233995896011   0.3268864
2457115.500000000      56.23103  20.26514 1.40252451713603   0.3122479
2457116.500000000      57.24354  20.46510 1.40270074168219   0.2980265
2457117.500000000      58.25853  20.65917 1.40286886608442   0.2841947
2457118.500000000      59.27596  20.84727 1.40302910611015   0.2707182
2457119.500000000      60.29580  21.02932 1.40318165280546   0.2575459
2457120.500000000      61.31800  21.20527 1.40332666455083   0.2446159
2457121.500000000      62.34252  21.37504 1.40346426002655   0.2318524
2457122.500000000      63.36931  21.53856 1.40359451109433   0.2191691
2457123.500000000      64.39832  21.69577 1.40371743613071   0.2064675
2457124.500000000      65.42950  21.84661 1.40383299209779   0.1936359
2457125.500000000      66.46279  21.99102 1.40394107337076   0.1805629
2457126.500000000      67.49813  22.12894 1.40404150512061   0.1671288
2457127.500000000      68.53545  22.26031 1.40413404685382   0.1532267
2457128.500000000      69.57468  22.38509 1.40421840370137   0.1387768
2457129.500000000      70.61573  22.50323 1.40429424836213   0.1237524
2457130.500000000      71.65852  22.61466 1.40436125442053   0.1081824
2457131.500000000      72.70295  22.71935 1.40441913177164   0.0921629
2457132.500000000      73.74891  22.81724 1.40446766003071   0.0758372
2457133.500000000      74.79631  22.90831 1.40450671110867   0.0593753
2457134.500000000      75.84503  22.99250 1.40453625529531   0.0429447
2457135.500000000      76.89495  23.06979 1.40455635399106   0.0266901
2457136.500000000      77.94596  23.14014 1.40456714317110   0.0107251
2457137.500000000      78.99796  23.20351 1.40456881528232  -0.0048677
2457138.500000000      80.05081  23.25988 1.40456160292313  -0.0200308
2457139.500000000      81.10442  23.30923 1.40454576578138  -0.0347256
2457140.500000000      82.15866  23.35153 1.40452158524507  -0.0489178
2457141.500000000      83.21343  23.38677 1.40448935794489  -0.0625855
2457142.500000000      84.26861  23.41493 1.40444939261380  -0.0757092
2457143.500000000      85.32409  23.43599 1.40440200797675  -0.0882735
2457144.500000000      86.37976  23.44996 1.40434742384992  -0.1002685
2457145.500000000      87.43551  23.45683 1.40428618449183  -0.1116879
2457146.500000000      88.49124  23.45658 1.40421851242263  -0.1225458
2457147.500000000      89.54683  23.44923 1.40414472493571  -0.1328698
2457148.500000000      90.60219  23.43477 1.40406511775904  -0.1427072
2457149.500000000      91.65721  23.41321 1.40397995332622  -0.1521257
2457150.500000000      92.71179  23.38457 1.40388944922483  -0.1612125
2457151.500000000      93.76585  23.34885 1.40379376608095  -0.1700752
2457152.500000000      94.81928  23.30608 1.40369300287450  -0.1788262
2457153.500000000      95.87198  23.25626 1.40358718657228  -0.1875936
2457154.500000000      96.92388  23.19942 1.40347627007761  -0.1965072
2457155.500000000      97.97486  23.13559 1.40336013607778  -0.2056785
2457156.500000000      99.02485  23.06479 1.40323860502438  -0.2152091
2457157.500000000     100.07373  22.98705 1.40311144879359  -0.2251642
2457158.500000000     101.12142  22.90242 1.40297841398809  -0.2355637
2457159.500000000     102.16781  22.81092 1.40283925067739  -0.2463754
2457160.500000000     103.21280  22.71260 1.40269374229179  -0.2575172
2457161.500000000     104.25629  22.60749 1.40254173152735  -0.2688688
2457162.500000000     105.29818  22.49565 1.40238313695346  -0.2802908
2457163.500000000     106.33836  22.37713 1.40221795867418  -0.2916436
2457164.500000000     107.37674  22.25197 1.40204627376465  -0.3028018
2457165.500000000     108.41322  22.12023 1.40186822579386  -0.3136614
2457166.500000000     109.44772  21.98197 1.40168401236984  -0.3241375
2457167.500000000     110.48014  21.83723 1.40149387301704  -0.3341729
2457168.500000000     111.51041  21.68610 1.40129807766541  -0.3437149
2457169.500000000     112.53846  21.52861 1.40109692383415  -0.3527208
2457170.500000000     113.56420  21.36485 1.40089073232108  -0.3611524
2457171.500000000     114.58758  21.19488 1.40067984548904  -0.3689731
2457172.500000000     115.60853  21.01875 1.40046462626216  -0.3761486
2457173.500000000     116.62701  20.83656 1.40024545625602  -0.3826487
2457174.500000000     117.64295  20.64836 1.40002273231491  -0.3884524
2457175.500000000     118.65631  20.45423 1.39979603066415  -0.3935538
2457176.500000000     119.66706  20.25424 1.39956741027616  -0.3979704
2457177.500000000     120.67516  20.04847 1.39933642655409  -0.4017477
2457178.500000000     121.68060  19.83699 1.39910342798086  -0.4049623
2457179.500000000     122.68334  19.61989 1.39886871031938  -0.4077201
2457180.500000000     123.68337  19.39723 1.39863250118288  -0.4101497
2457181.500000000     124.68069  19.16911 1.39839494945811  -0.4123930
2457182.500000000     125.67529  18.93559 1.39815612187430  -0.4145883
2457183.500000000     126.66716  18.69677 1.39791600619047  -0.4168767
2457184.500000000     127.65630  18.45272 1.39767451513505  -0.4193675
2457185.500000000     128.64271  18.20354 1.39743150589477  -0.4221449
2457186.500000000     129.62639  17.94930 1.39718679697984  -0.4252577
2457187.500000000     130.60733  17.69009 1.39694019020150  -0.4287147
2457188.500000000     131.58553  17.42601 1.39669149567126  -0.4324798
2457189.500000000     132.56099  17.15715 1.39644055020076  -0.4364938
2457190.500000000     133.53372  16.88360 1.39618723770242  -0.4406586
2457191.500000000     134.50370  16.60544 1.39593150195451  -0.4448660
2457192.500000000     135.47094  16.32279 1.39567335019338  -0.4490060
2457193.500000000     136.43545  16.03572 1.39541285257221  -0.4529733
2457194.500000000     137.39723  15.74433 1.39515013546462  -0.4566770
2457195.500000000     138.35630  15.44873 1.39488537416493  -0.4600399
2457196.500000000     139.31267  15.14901 1.39461878478574  -0.4629971
2457197.500000000     140.26636  14.84525 1.39435061864299  -0.4654907
2457198.500000000     141.21739  14.53756 1.39408115859495  -0.4674688
2457199.500000000     142.16579  14.22604 1.39381071708601  -0.4688806
2457200.500000000     143.11160  13.91078 1.39353963777835  -0.4696694
2457201.500000000     144.05484  13.59187 1.39326829298169  -0.4697901
2457202.500000000     144.99555  13.26941 1.39299708512700  -0.4691871
2457203.500000000     145.93377  12.94350 1.39272644517847  -0.4678178
2457204.500000000     146.86957  12.61423 1.39245682076229  -0.4656580
2457205.500000000     147.80297  12.28169 1.39218940899986  -0.4627119
2457206.500000000     148.73403  11.94599 1.39192318230051  -0.4590241
2457207.500000000     149.66283  11.60721 1.39165927947381  -0.4546835
2457208.500000000     150.58942  11.26544 1.39139804354289  -0.4498148
2457209.500000000     151.51388  10.92078 1.39113973246598  -0.4445821
2457210.500000000     152.43628  10.57331 1.39088451009416  -0.4391474
2457211.500000000     153.35670  10.22313 1.39063244675844  -0.4336678
2457212.500000000     154.27520   9.87033 1.39038352950225  -0.4282736
2457213.500000000     155.19186   9.51501 1.39013767504708  -0.4230768
2457214.500000000     156.10675   9.15724 1.38989474915184  -0.4181416
2457215.500000000     157.01995   8.79713 1.38965458900701  -0.4135030
2457216.500000000     157.93151   8.43478 1.38941702177267  -0.4091607
2457217.500000000     158.84151   8.07027 1.38918188272296  -0.4050881
2457218.500000000     159.75002   7.70371 1.38894903075607  -0.4012292
2457219.500000000     160.65709   7.33519 1.38871836036071  -0.3975231
2457220.500000000     161.56279   6.96480 1.38848980672630  -0.3938860
2457221.500000000     162.46719   6.59265 1.38826335446641  -0.3902328
2457222.500000000     163.37034   6.21882 1.38803903669982  -0.3864815
2457223.500000000     164.27232   5.84343 1.38781693270294  -0.3825549
2457224.500000000     165.17319   5.46656 1.38759716426188  -0.3783829
2457225.500000000     166.07302   5.08831 1.38737989207306  -0.3739016
2457226.500000000     166.97187   4.70878 1.38716531202973  -0.3690506
2457227.500000000     167.86981   4.32806 1.38695365505114  -0.3637698
2457228.500000000     168.76692   3.94626 1.38674518706293  -0.3579980
2457229.500000000     169.66327   3.56346 1.38654021026088  -0.3516692
2457230.500000000     170.55892   3.17977 1.38633906685608  -0.3447122
2457231.500000000     171.45396   2.79527 1.38614214063637  -0.3370547
2457232.500000000     172.34846   2.41007 1.38594985560119  -0.3286317
2457233.500000000     173.24250   2.02426 1.38576266831817  -0.3193986
2457234.500000000     174.13617   1.63793 1.38558105166168  -0.3093444
2457235.500000000     175.02955   1.25117 1.38540546979120  -0.2985140
2457236.500000000     175.92277   0.86415 1.38523402366332  -0.2870075
2457237.500000000     176.81584   0.47681 1.38507170444504  -0.2749769
2457238.500000000     177.70892   0.08931 1.38491644218616  -0.2626030
2457239.500000000     178.60208  -0.29826 1.38476838054907  -0.2500735
2457240.500000000     179.49543  -0.68580 1.38462756062624  -0.2375523
2457241.500000000     180.38907  -1.07323 1.38449393797103  -0.2251701
2457242.500000000     181.28308  -1.46046 1.38436740365971  -0.2130209
2457243.500000000     182.17756  -1.84740 1.38424780577835  -0.2011579
2457244.500000000     183.07259  -2.23395 1.38413496967440  -0.1896079
2457245.500000000     183.96825  -2.62001 1.38402871322756  -0.1783718
2457246.500000000     184.86463  -3.00550 1.38392886230337  -0.1674251
2457247.500000000     185.76181  -3.39032 1.38383525764877  -0.1567355
2457248.500000000     186.65985  -3.77437 1.38374776429313  -0.1462556
2457249.500000000     187.55884  -4.15755 1.38366627637539  -0.1359303
2457250.500000000     188.45884  -4.53977 1.38359072142720  -0.1257018
2457251.500000000     189.35994  -4.92093 1.38352106281891  -0.1154994
2457252.500000000     190.26219  -5.30093 1.38345730443927  -0.1052640
2457253.500000000     191.16566  -5.67967 1.38339947931323  -0.0949380
2457254.500000000     192.07044  -6.05705 1.38334766547898  -0.0844461
2457255.500000000     192.97657  -6.43298 1.38330197184166  -0.0737345
2457256.500000000     193.88413  -6.80735 1.38326254305333  -0.0627393
2457257.500000000     194.79318  -7.18006 1.38322956289643  -0.0513951
2457258.500000000     195.70380  -7.55102 1.38320325536978  -0.0396203
2457259.500000000     196.61603  -7.92013 1.38318389318450  -0.0273297
2457260.500000000     197.52995  -8.28727 1.38317180166525  -0.0144302
2457261.500000000     198.44562  -8.65237 1.38316735748709  -0.0008364
2457262.500000000     199.36310  -9.01531 1.38317098168929   0.0135156
2457263.500000000     200.28248  -9.37599 1.38318312089831   0.0286473
2457264.500000000     201.20381  -9.73433 1.38320421739224   0.0445190
2457265.500000000     202.12717 -10.09022 1.38323466978905   0.0610203
2457266.500000000     203.05265 -10.44357 1.38327479613548   0.0779848
2457267.500000000     203.98031 -10.79428 1.38332480724623   0.0952142
2457268.500000000     204.91024 -11.14226 1.38338479807946   0.1125113
2457269.500000000     205.84250 -11.48742 1.38345475918084   0.1297126
2457270.500000000     206.77717 -11.82965 1.38353459616700   0.1466911
2457271.500000000     207.71431 -12.16887 1.38362415419772   0.1633622
2457272.500000000     208.65399 -12.50496 1.38372324002723   0.1796773
2457273.500000000     209.59625 -12.83785 1.38383164064425   0.1956141
2457274.500000000     210.54115 -13.16742 1.38394913528634   0.2111674
2457275.500000000     211.48874 -13.49358 1.38407550470835   0.2263471
2457276.500000000     212.43905 -13.81622 1.38421053814181   0.2411719
2457277.500000000     213.39214 -14.13525 1.38435403723749   0.2556673
2457278.500000000     214.34803 -14.45057 1.38450582360636   0.2698733
2457279.500000000     215.30675 -14.76207 1.38466574080304   0.2838290
2457280.500000000     216.26832 -15.06966 1.38483365753605   0.2975814
2457281.500000000     217.23279 -15.37322 1.38500947102370   0.3111817
2457282.500000000     218.20015 -15.67267 1.38519310926628   0.3246854
2457283.500000000     219.17043 -15.96790 1.38538453308416   0.3381509
2457284.500000000     220.14364 -16.25881 1.38558373855804   0.3516407
2457285.500000000     221.11978 -16.54530 1.38579075964703   0.3652270
2457286.500000000     222.09887 -16.82726 1.38600567386495   0.3789861
2457287.500000000     223.08091 -17.10460 1.38622860602923   0.3930060
2457288.500000000     224.06588 -17.37723 1.38645973522195   0.4073869
2457289.500000000     225.05380 -17.64503 1.38669929993527   0.4222335
2457290.500000000     226.04465 -17.90792 1.38694759925905   0.4376475
2457291.500000000     227.03843 -18.16580 1.38720498529061   0.4537078
2457292.500000000     228.03514 -18.41858 1.38747184277942   0.4704447
2457293.500000000     229.03477 -18.66615 1.38774855668119   0.4878241
2457294.500000000     230.03731 -18.90844 1.38803546955121   0.5057362
2457295.500000000     231.04276 -19.14535 1.38833284201429   0.5240109
2457296.500000000     232.05113 -19.37679 1.38864082648232   0.5424480
2457297.500000000     233.06240 -19.60268 1.38895946112722   0.5608592
2457298.500000000     234.07656 -19.82294 1.38928867981187   0.5790734
2457299.500000000     235.09359 -20.03748 1.38962833346727   0.5969758
2457300.500000000     236.11347 -20.24621 1.38997821661751   0.6144842
2457301.500000000     237.13617 -20.44907 1.39033808651032   0.6315504
2457302.500000000     238.16164 -20.64596 1.39070767893041   0.6481459
2457303.500000000     239.18985 -20.83680 1.39108671808096   0.6642618
2457304.500000000     240.22075 -21.02153 1.39147492565799   0.6798934
2457305.500000000     241.25428 -21.20006 1.39187202240145   0.6950427
2457306.500000000     242.29037 -21.37232 1.39227773328036   0.7097241
2457307.500000000     243.32897 -21.53824 1.39269179218590   0.7239527
2457308.500000000     244.37000 -21.69774 1.39311394424057   0.7377527
2457309.500000000     245.41339 -21.85075 1.39354395145864   0.7511620
2457310.500000000     246.45905 -21.99722 1.39398159891821   0.7642132
2457311.500000000     247.50689 -22.13707 1.39442669447705   0.7769616
2457312.500000000     248.55683 -22.27024 1.39487907998992   0.7894665
2457313.500000000     249.60876 -22.39668 1.39533863438283   0.8017972
2457314.500000000     250.66260 -22.51633 1.39580527918104   0.8140324
2457315.500000000     251.71823 -22.62912 1.39627898388612   0.8262584
2457316.500000000     252.77554 -22.73502 1.39675977122956   0.8385756
2457317.500000000     253.83443 -22.83397 1.39724772619135   0.8510964
2457318.500000000     254.89479 -22.92593 1.39774299892560   0.8639350
2457319.500000000     255.95651 -23.01085 1.39824580552715   0.8772000
2457320.500000000     257.01947 -23.08869 1.39875641853082   0.8909765
2457321.500000000     258.08357 -23.15943 1.39927514585161   0.9052987
2457322.500000000     259.14869 -23.22301 1.39980229819444   0.9201380
2457323.500000000     260.21475 -23.27943 1.40033814789633   0.9353927
2457324.500000000     261.28162 -23.32864 1.40088289161576   0.9509060
2457325.500000000     262.34923 -23.37063 1.40143662641636   0.9664936
2457326.500000000     263.41746 -23.40538 1.40199934220979   0.9819775
2457327.500000000     264.48622 -23.43287 1.40257093364195   0.9972045
2457328.500000000     265.55539 -23.45310 1.40315121706507   1.0120589
2457329.500000000     266.62488 -23.46604 1.40373995227269   1.0264593
2457330.500000000     267.69457 -23.47170 1.40433686226952   1.0403555
2457331.500000000     268.76435 -23.47007 1.40494164155449   1.0537067
2457332.500000000     269.83410 -23.46116 1.40555397034777   1.0664942
2457333.500000000     270.90371 -23.44496 1.40617351787224   1.0787002
2457334.500000000     271.97306 -23.42149 1.40679994554091   1.0903169
2457335.500000000     273.04203 -23.39075 1.40743291039666   1.1013359
2457336.500000000     274.11050 -23.35276 1.40807206714746   1.1117581
2457337.500000000     275.17835 -23.30753 1.40871707290207   1.1215913
2457338.500000000     276.24546 -23.25510 1.40936759237367   1.1308550
2457339.500000000     277.31171 -23.19547 1.41002330573929   1.1395829
2457340.500000000     278.37698 -23.12869 1.41068391688169   1.1478239
2457341.500000000     279.44114 -23.05477 1.41134916227386   1.1556412
2457342.500000000     280.50408 -22.97375 1.41201881927194   1.1631149
2457343.500000000     281.56568 -22.88568 1.41269271795687   1.1703416
2457344.500000000     282.62581 -22.79059 1.41337074085075   1.1774183
2457345.500000000     283.68437 -22.68852 1.41405283653842   1.1844643
2457346.500000000     284.74124 -22.57952 1.41473902233866   1.1916014
2457347.500000000     285.79631 -22.46364 1.41542938563333   1.1989490
2457348.500000000     286.84948 -22.34093 1.41612408139493   1.2066180
2457349.500000000     287.90067 -22.21145 1.41682331676642   1.2146794
2457350.500000000     288.94977 -22.07525 1.41752733173119   1.2231690
2457351.500000000     289.99670 -21.93239 1.41823636902809   1.2320607
2457352.500000000     291.04140 -21.78293 1.41895063884938   1.2412689
2457353.500000000     292.08380 -21.62694 1.41967028755403   1.2506613
2457354.500000000     293.12384 -21.46447 1.42039537698346   1.2600818
2457355.500000000     294.16147 -21.29561 1.42112587785838   1.2693747
2457356.500000000     295.19662 -21.12041 1.42186167580186   1.2784033
2457357.500000000     296.22926 -20.93894 1.42260258517868   1.2870582
2457358.500000000     297.25934 -20.75129 1.42334836534042   1.2952578
2457359.500000000     298.28681 -20.55752 1.42409873528548   1.3029429
2457360.500000000     299.31163 -20.35772 1.42485338477132   1.3100703
2457361.500000000     300.33376 -20.15196 1.42561198157587   1.3166062
2457362.500000000     301.35317 -19.94033 1.42637417560583   1.3225219
2457363.500000000     302.36981 -19.72290 1.42713960101798   1.3277914
2457364.500000000     303.38366 -19.49977 1.42790787767375   1.3323914
2457365.500000000     304.39469 -19.27102 1.42867861323779   1.3363034
2457366.500000000     305.40287 -19.03674 1.42945140709689   1.3395181
2457367.500000000     306.40817 -18.79701 1.43022585697862   1.3420400
2457368.500000000     307.41057 -18.55193 1.43100156864151   1.3438932
2457369.500000000     308.41004 -18.30159 1.43177816831210   1.3451250
2457370.500000000     309.40657 -18.04608 1.43255531680126   1.3458078
2457371.500000000     310.40014 -17.78551 1.43333272368650   1.3460376
2457372.500000000     311.39073 -17.51996 1.43411015980894   1.3459296
2457373.500000000     312.37833 -17.24953 1.43488746663205   1.3456119
2457374.500000000     313.36292 -16.97433 1.43566456153323   1.3452181
2457375.500000000     314.34451 -16.69444 1.43644143852335   1.3448785
2457376.500000000     315.32310 -16.40998 1.43721816399944   1.3447118
2457377.500000000     316.29868 -16.12103 1.43799486701829   1.3448145
2457378.500000000     317.27127 -15.82770 1.43877172359998   1.3452511
2457379.500000000     318.24089 -15.53009 1.43954893520571   1.3460439
2457380.500000000     319.20757 -15.22829 1.44032670294464   1.3471689
2457381.500000000     320.17134 -14.92240 1.44110520082199   1.3485574
2457382.500000000     321.13223 -14.61252 1.44188455245252   1.3501059
2457383.500000000     322.09029 -14.29875 1.44266481522292   1.3516912
2457384.500000000     323.04556 -13.98118 1.44344597384815   1.3531875
2457385.500000000     323.99810 -13.65991 1.44422794260549   1.3544785
2457386.500000000     324.94796 -13.33504 1.44501057352094   1.3554655
2457387.500000000     325.89518 -13.00666 1.44579366711434   1.3560689
2457388.500000000     326.83983 -12.67488 1.44657698282281   1.3562253
2457389.500000000     327.78196 -12.33979 1.44736024730436   1.3558838
2457390.500000000     328.72162 -12.00149 1.44814315991893   1.3550000
2457391.500000000     329.65888 -11.66007 1.44892539552723   1.3535327
2457392.500000000     330.59378 -11.31565 1.44970660532585   1.3514411
2457393.500000000     331.52640 -10.96830 1.45048641684567   1.3486843
2457394.500000000     332.45678 -10.61815 1.45126443456332   1.3452239
2457395.500000000     333.38500 -10.26527 1.45204024279735   1.3410296
2457396.500000000     334.31111  -9.90978 1.45281341254685   1.3360872
2457397.500000000     335.23516  -9.55178 1.45358351345349   1.3304077
2457398.500000000     336.15722  -9.19136 1.45435013095953   1.3240358
2457399.500000000     337.07734  -8.82862 1.45511288710447   1.3170539
2457400.500000000     337.99558  -8.46367 1.45587146179895   1.3095789
2457401.500000000     338.91199  -8.09661 1.45662561063932   1.3017538
2457402.500000000     339.82663  -7.72755 1.45737517591538   1.2937335
2457403.500000000     340.73956  -7.35657 1.45812008919504   1.2856699
2457404.500000000     341.65084  -6.98380 1.45886036585421   1.2776993
2457405.500000000     342.56053  -6.60931 1.45959609324320   1.2699334
2457406.500000000     343.46870  -6.23323 1.46032741451793   1.2624531
2457407.500000000     344.37542  -5.85564 1.46105450984099   1.2553052
2457408.500000000     345.28076  -5.47664 1.46177757626135   1.2485013
2457409.500000000     346.18481  -5.09634 1.46249680750630   1.2420187
2457410.500000000     347.08764  -4.71481 1.46321237515920   1.2358044
2457411.500000000     347.98933  -4.33217 1.46392441292195   1.2297816
2457412.500000000     348.88999  -3.94851 1.46463300549021   1.2238589
2457413.500000000     349.78968  -3.56391 1.46533818285492   1.2179398
2457414.500000000     350.68851  -3.17847 1.46603991979526   1.2119308
2457415.500000000     351.58656  -2.79229 1.46673813935614   1.2057470
2457416.500000000     352.48393  -2.40545 1.46743271855444   1.1993139
2457417.500000000     353.38070  -2.01806 1.46812349452970   1.1925677
2457418.500000000     354.27697  -1.63020 1.46881026972013   1.1854515
2457419.500000000     355.17282  -1.24196 1.46949281519250   1.1779129
2457420.500000000     356.06834  -0.85344 1.47017087183140   1.1698993
2457421.500000000     356.96362  -0.46474 1.47084414964732   1.1613559
2457422.500000000     357.85875  -0.07593 1.47151232603090   1.1522248
2457423.500000000     358.75381   0.31287 1.47217504440657   1.1424470
2457424.500000000     359.64889   0.70158 1.47283191538991   1.1319692
2457425.500000000       0.54407   1.09010 1.47348252299701   1.1207549
2457426.500000000       1.43943   1.47834 1.47412643822637   1.1087980
2457427.500000000       2.33505   1.86621 1.47476324088804   1.0961369
2457428.500000000       3.23099   2.25359 1.47539254777838   1.0828618
2457429.500000000       4.12734   2.64041 1.47601404209015   1.0691108
2457430.500000000       5.02415   3.02655 1.47662749714476   1.0550544
2457431.500000000       5.92149   3.41192 1.47723278866322   1.0408726
2457432.500000000       6.81943   3.79642 1.47782989354283   1.0267324
2457433.500000000       7.71804   4.17995 1.47841887732142   1.0127719
2457434.500000000       8.61738   4.56242 1.47899987495425   0.9990928
2457435.500000000       9.51754   4.94371 1.47957306954322   0.9857604
2457436.500000000      10.41857   5.32375 1.48013867214248   0.9728070
2457437.500000000      11.32057   5.70243 1.48069690403144   0.9602365
2457438.500000000      12.22360   6.07966 1.48124798170252   0.9480292
2457439.500000000      13.12774   6.45534 1.48179210440187   0.9361457
2457440.500000000      14.03308   6.82937 1.48232944412442   0.9245318
2457441.500000000      14.93969   7.20167 1.48286013815117   0.9131223
2457442.500000000      15.84765   7.57215 1.48338428426702   0.9018463
2457443.500000000      16.75705   7.94070 1.48390193862489   0.8906314
2457444.500000000      17.66796   8.30723 1.48441311589327   0.8794067
2457445.500000000      18.58047   8.67166 1.48491779098489   0.8681056
2457446.500000000      19.49464   9.03388 1.48541590144613   0.8566654
2457447.500000000      20.41057   9.39381 1.48590734955349   0.8450261
2457448.500000000      21.32831   9.75136 1.48639200330855   0.8331286
2457449.500000000      22.24795  10.10642 1.48686969581541   0.8209108
2457450.500000000      23.16955  10.45890 1.48734022296194   0.8083055
2457451.500000000      24.09318  10.80872 1.48780333992713   0.7952389
2457452.500000000      25.01891  11.15577 1.48825875787801   0.7816332
2457453.500000000      25.94679  11.49997 1.48870614324390   0.7674129
